amount,term_ 36 months,rate,payment,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,length_sub 1 year,length_1 year,length_10 plus years,length_2 years,length_3 years,length_4 years,length_5 years,length_6 years,length_7 years,length_8 years,length_9 years,length_n/a,home_MORTGAGE,home_OWN,home_RENT,income,verified_Not Verified,verified_Source Verified,verified_Verified,status_Bad,reason_credit_card,reason_debt_consolidation,reason_home_improvement,reason_other,debtIncRat,delinq2yr,inq6mth,openAcc,pubRec,revolRatio,totalAcc,totalBal,totalRevLim,accOpen24,avgBal,bcOpen,bcRatio,totalLim,totalRevBal,totalBcLim,totalIlLim
10000,0,0.12,220.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70000,0,1,0,0,0,1,0,0,9.96,2,0,9,0,0.69,19,17106,10200,2,2138,2600,72.9,30506,17106,9600,20306
30000,1,0.08,935.81,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,120000,0,0,1,0,1,0,0,0,27.09,0,0,13,0,0.6,30,419505,83400,6,32270,21138,70.2,526013,156027,70900,136623
18000,1,0.07,557.94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129000,0,1,0,0,0,0,0,1,15.36,0,0,9,0,0.32,40,411616,25000,3,45735,12630,38.4,455287,149794,20500,150076
30000,1,0.14,1025.19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,90000,0,1,0,0,0,1,0,0,14.57,0,0,8,0,0.57,22,53402,27100,4,6675,10385,56.2,67048,53402,23700,30457
10000,0,0.18,255.3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,45000,0,1,0,0,0,1,0,0,11.23,0,1,7,0,0.95,28,136029,5000,5,19433,0,101,145560,36229,3000,37449
1600,1,0.12,53.45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,120000,0,1,0,0,0,0,0,1,22.51,0,0,14,1,0.79,34,316385,51200,5,22599,322,99.1,363603,108141,35100,95323
19200,1,0.06,588.38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,60000,0,1,0,0,0,1,0,0,15.48,0,0,6,0,0.68,8,225439,9500,3,45088,3049,67.9,240768,32827,9500,35568
20000,1,0.11,654.68,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,62000,0,0,1,0,0,1,0,0,22.47,0,1,8,0,0.57,13,217767,19300,3,27221,9,99.5,270206,34765,2000,46606
28175,0,0.18,719.15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,71138,0,1,0,0,0,1,0,0,24.19,0,2,8,0,0.72,24,133525,28100,6,16691,7858,72,154656,67531,28100,53626
35000,1,0.08,1099.69,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,150000,0,1,0,0,1,0,0,0,15.35,0,0,14,0,0.67,28,275606,51200,1,19686,10393,75.5,362300,61817,42400,63093
