talk_id,title,topics,description
1708,"Watson, Jeopardy and me, the obsolete know-it-all","['tedx', 'computers', 'entertainment', 'robots', 'technology', 'ai']","Trivia whiz Ken Jennings has made a career as a keeper of facts; he holds the longest winning streak in history on the US quiz show Jeopardy. But in 2011, he played a challenge match against IBM's supercomputer Watson -- and lost. With humor and humility, Jennings tells us how it felt to have a computer literally beat him at his own game, and makes the case for good old-fashioned human knowledge."
1608,A new mission for veterans -- disaster relief,"['tedx', 'disasterrelief', 'globalissues', 'military', 'naturaldisaster', 'suicide', 'ptsd']","After fighting overseas, 92 percent of American veterans say they want to continue their service. Meanwhile, one after another, natural disasters continue to wreak havoc worldwide. What do these two challenges have in common? In telling the story of his friend Clay Hunt, Jake Wood from Team Rubicon reveals how veterans can contribute to disaster response -- and regain their sense of purpose, community and self-worth."
2115,"A science award that makes you laugh, then think","['humor', 'science', 'technology', 'innovation']","As founder of the Ig Nobel awards, Marc Abrahams explores the world's most improbable research. In this thought-provoking (and occasionally side-splitting) talk, he tells stories of truly weird science -- and makes the case that silliness is critical to boosting public interest in science."
28518,What are you willing to give up to change the way we work?,"['innovation', 'business', 'creativity', 'leadership', 'work', 'motivation', 'success']","What does it take to build the fast, flexible, creative teams needed to challenge entrenched work culture? For transformation expert Martin Danoesastro, it all starts with one question: ""What are you willing to give up?"" He shares lessons learned from companies on both sides of the innovation wave on how to structure your organization so that people at all levels are empowered to make decisions fast and respond to change."
44204,3 ways to measure your adaptability -- and how to improve it,"['start-up', 'leadership', 'business', 'entrepreneur', 'investment', 'intelligence', 'personalgrowth']","When venture investor Natalie Fratto is determining which start-up founder to support, she doesn't just look for intelligence or charisma; she looks for adaptability. In this insightful talk, Fratto shares three ways to measure your ""adaptability quotient"" -- and shows why your ability to respond to change really matters."
56,My wish: Manufactured landscapes and green education,"['tedprize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'socialchange']","Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images -- stunning landscapes that document humanity's impact on the world -- help persuade millions to join a global conversation on sustainability."
3613,How to talk (and listen) to transgender people,"['activism', 'lgbt', 'culture', 'identity', 'socialchange', 'society', 'tedresidency', 'transgender']","Gender should be the least remarkable thing about someone, but transgender people are still too often misunderstood. To help those who are scared to ask questions or nervous about saying the wrong thing, Jackson Bird shares a few ways to think about trans issues. And in this funny, frank talk, he clears up a few misconceptions about pronouns, transitioning, bathrooms and more."
31466,How to transform sinking cities into landscapes that fight floods,"['tedfellows', 'urbanplanning', 'nature', 'community', 'sustainability', 'climatechange', 'design', 'architecture', 'cities', 'infrastructure', 'environment']","From London to Tokyo, climate change is causing cities to sink -- and our modern concrete infrastructure is making us even more vulnerable to severe flooding, says landscape architect and TED Fellow Kotchakorn Voraakhom. But what if we could design cities to help fight floods? In this inspiring talk, Voraakhom shows how she developed a massive park in Bangkok that can hold a million gallons of rainwater, calling for more climate change solutions that connect cities back to nature."
36659,A short history of trans people's long fight for equality,"['history', 'tedresidency', 'transgender', 'society', 'socialchange', 'inequality', 'activism', 'identity', 'lgbt', 'culture']","Transgender activist and TED Resident Samy Nour Younes shares the remarkable, centuries-old history of the trans community, filled with courageous stories,  inspiring triumphs -- and a fight for civil rights that's been raging for a long time. ""Imagine how the conversation would shift if we acknowledge just how long trans people have been demanding equality,"" he says."
15420,How I'm bringing queer pride to my rural village,"['gender', 'activism', 'genderspectrum', 'genderequality', 'lgbt', 'humanity', 'identity', 'society', 'community', 'socialchange', 'transgender', 'tedfellows']","In a poetic, personal talk, TED Fellow Katlego Kolanyane-Kesupile examines the connection between her modern queer lifestyle and her childhood upbringing in a rural village in Botswana. ""In a time where being brown, queer, African and seen as worthy of space means being everything but rural, I fear that we're erasing the very struggles that got us to where we are now,"" she says. ""Indigenizing my queerness means bridging the many exceptional parts of myself."""
