title,budget,production_companies,genres,keywords,overview,vote_count,vote_average
Avatar,237000000,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment']","['action', 'adventure', 'fantasy', 'science fiction']","['culture clash', 'future', 'space war']","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",11800,7.2
Pirates of the Caribbean: At World's End,300000000,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['adventure', 'fantasy', 'action']","['ocean', 'drug abuse', 'exotic island']","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",4500,6.9
Spectre,245000000,"['Columbia Pictures', 'Danjaq', 'B24']","['action', 'adventure', 'crime']","['spy', 'based on novel', 'secret agent']","A cryptic message from Bonds past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",4466,6.3
The Dark Knight Rises,250000000,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment']","['action', 'crime', 'drama', 'thriller']","['dc comics', 'crime fighter', 'terrorist']","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",9106,7.6
John Carter,260000000,['Walt Disney Pictures'],"['action', 'adventure', 'science fiction']","['based on novel', 'mars', 'medallion']","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2124,6.1
Spider-Man 3,258000000,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']","['fantasy', 'action', 'adventure']","['dual identity', 'amnesia', 'sandstorm']","The seemingly invincible Spider-Man goes up against an all-new crop of villain  including the shape-shifting Sandman. While Spider-Mans superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",3576,5.9
Tangled,260000000,"['Walt Disney Pictures', 'Walt Disney Animation Studios']","['animation', 'family']","['hostage', 'magic', 'horse']","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",3330,7.4
Avengers: Age of Ultron,280000000,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']","['action', 'adventure', 'science fiction']","['marvel comic', 'sequel', 'superhero']","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earths Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",6767,7.3
Harry Potter and the Half-Blood Prince,250000000,"['Warner Bros.', 'Heyday Films']","['adventure', 'fantasy', 'family']","['witch', 'magic', 'broom']","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",5293,7.4
Batman v Superman: Dawn of Justice,250000000,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.']","['action', 'adventure', 'fantasy']","['dc comics', 'vigilante', 'superhero']","Fearing the actions of a god-like Super Hero left unchecked, Gotham Citys own formidable, forceful vigilante takes on Metropoliss most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than its ever known before.",7004,5.7
Superman Returns,270000000,"['DC Comics', 'Legendary Pictures', 'Warner Bros.']","['adventure', 'fantasy', 'action', 'science fiction']","['saving the world', 'dc comics', 'invulnerability']","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",1400,5.4
Quantum of Solace,200000000,['Eon Productions'],"['adventure', 'action', 'thriller', 'crime']","['killing', 'undercover', 'secret agent']","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2965,6.1
Pirates of the Caribbean: Dead Man's Chest,200000000,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['adventure', 'fantasy', 'action']","['witch', 'fortune teller', 'bondage']","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",5246,7.0
