restID,name,price_range,restaurant_type,ambiance,descriptors
0,Smoke Jazz and Supper Club,Average_price,Contemporary American,rustic airy adorable classic,most distinguished uncommon innovative American proud only world-class week.IMPORTANT special welcome
1,Tavern on the Green,Average_price,American,classic,architect semi-circular authentic natural elegant re-built spectacular grand Italian historic
2,ABC Kitchen,Average_price,Contemporary American,bustling light-filled rustic welcoming,freshest organic local artistic fresh articulate
3,Catch New York,Average_price,Seafood,adorable fashionable airy light-filled,contemporary classic sophisticated approachable bright clean unique loyal open communal further
4,Becco,Budget_price,Italian,rustic utilitarian charming electic,great Italian delicious regional Italian famed open fresh seasonal many best eclectic knowledgeable great great great right
5,Estiatorio Milos - NY,High_price,Seafood,vibrant posh elegant,freshest flavorful subtlest elegant spacious most lauded original abundant open
6,Tao Uptown,Average_price,Asian,rustic cozy fashionable classic,16-foot Japanese favorite authentic Japanese former
7,Red Rooster Harlem,Average_price,Southern,fashionable rustic,American diverse culinary legendary
8,Del Frisco's Double Eagle Steak House - New York City,High_price,Steakhouse,romantic classy intimate luxurious,midtown classic incredible great beautiful best perfect small
9,FIG & OLIVE Fifth Avenue,Average_price,Mediterranean,adorable light-filled bustling,best olive full exceptional elegant authentic French Italian numerous menu clean healthy sophisticated unique olive
10,Rosa Mexicano by Lincoln Center,Average_price,Mexican,cozy adorable welcoming inconspicous,second impressive Rockwell-designed 30-foot dramatic red contemporary new
11,ABC Cocina,Budget_price,Tapas / Small Plates,informal,
12,Gallaghers Steakhouse - Manhattan,High_price,Steakhouse,upscale vibrant elegant chic,former colorful good great hard incredible prime legendary all-natural dry hickory other
13,Boulud Sud,High_price,Mediterranean,vibrant posh chic,vibrant grilled fresh adjacent
14,Nougatine at Jean Georges,Average_price,French,light-filled airy welcoming,casual bar Adjacent formal seasonal casual freshest finest gorgeous open elegant prix-fixe
15,Sarabeth's Central Park South,Budget_price,American,charming kid_friendly modest cheerful,many many wonderful
16,Tao Downtown,High_price,Pan-Asian,romantic classy,sensual regular Pan-Asian imported watchful tall
17,ilili,Average_price,Lebanese,bustling,premier contemporary inspired authentic modern culinary international impressive architectural soft amber sophisticated relaxed new
18,Scarpetta,Average_price,Italian,fashionable rustic classic,Italian little dish pure last many three-star
19,Atlantic Grill Near Lincoln Center,Average_price,Seafood,welcoming inconspicous,local finest fresh delectable raw inventive culinary
