iter	RMSE
0	9688.953081
1	9324.036835
2	8979.426507
3	8668.706484
4	8341.384244
5	8041.723741
6	7756.032155
7	7484.259486
8	7217.778816
9	6972.655714
10	6725.428968
11	6515.256824
12	6316.487945
13	6094.771798
14	5901.7683
15	5711.192469
16	5570.112237
17	5418.62726
18	5275.491127
19	5116.842016
20	4976.75203
21	4814.547123
22	4665.869842
23	4521.365522
24	4386.381063
25	4281.069357
26	4169.943104
27	4069.448229
28	3965.062408
29	3855.831652
30	3754.822235
31	3678.754034
32	3591.946038
33	3520.531721
34	3436.763255
35	3363.027333
36	3294.848042
37	3223.155863
38	3166.888183
39	3106.406881
40	3037.900289
41	2971.648149
42	2912.36186
43	2865.267363
44	2808.216083
45	2750.679469
46	2701.334774
47	2652.277433
48	2615.158392
49	2576.336778
50	2533.942618
51	2493.181943
52	2454.738816
53	2424.287584
54	2389.008151
55	2356.33917
56	2321.460504
57	2292.116262
58	2266.415545
59	2239.128951
60	2210.228677
61	2183.436171
62	2155.170416
63	2138.858578
64	2118.399692
65	2097.2446
66	2093.917749
67	2076.309151
68	2062.585943
69	2045.054794
70	2020.336136
71	2002.7854
72	1981.469072
73	1965.292774
74	1952.449012
75	1934.528362
76	1919.117687
77	1908.534583
78	1894.449676
79	1877.225515
80	1863.559092
81	1851.799914
82	1839.486874
83	1829.295883
84	1810.399342
85	1797.243811
86	1789.656077
87	1776.213447
88	1768.75969
89	1764.098131
90	1760.588006
91	1757.165104
92	1747.843341
93	1740.862738
94	1728.578309
95	1713.400152
96	1702.834613
97	1691.101405
98	1681.817676
99	1669.297562
100	1663.406357
101	1649.804
102	1642.290586
103	1632.747828
104	1622.964437
105	1611.477519
106	1603.846837
107	1596.153574
108	1584.817285
109	1578.18872
110	1569.349629
111	1563.574115
112	1553.256593
113	1543.193527
114	1532.586697
115	1516.674758
116	1510.684349
117	1501.022122
118	1488.504624
119	1476.701713
120	1466.083416
121	1455.985261
122	1444.414664
123	1436.996439
124	1430.216235
125	1423.338394
126	1417.238427
127	1413.657676
128	1405.669967
129	1402.822611
130	1398.610057
131	1390.68974
132	1386.365904
133	1383.69045
134	1380.590733
135	1376.795039
136	1372.250536
137	1363.126444
138	1358.573455
139	1347.946116
140	1345.670601
141	1339.30698
142	1332.604417
143	1326.177812
144	1318.318519
145	1312.635561
146	1309.350702
147	1303.870355
148	1300.790625
149	1299.192337
150	1295.106878
151	1291.426798
152	1284.149469
153	1280.807167
154	1276.867738
155	1274.968041
156	1271.559045
157	1270.372755
158	1267.523155
159	1264.671074
160	1258.835707
161	1253.229394
162	1249.052821
163	1244.390459
164	1238.931398
165	1235.947634
166	1232.350156
167	1226.381358
168	1222.40876
169	1219.538112
170	1218.169503
171	1212.731245
172	1210.354009
173	1205.7353
174	1203.362664
175	1196.949441
176	1193.715769
177	1192.43885
178	1186.571113
179	1185.845224
180	1183.709659
181	1175.989976
182	1172.861749
183	1170.530397
184	1168.484014
185	1166.788533
186	1166.28331
187	1160.077541
188	1156.42159
189	1154.109619
190	1151.414471
191	1146.588578
192	1145.452526
193	1144.443949
194	1142.425748
195	1140.887201
196	1139.243029
197	1136.691823
198	1133.628713
199	1132.931742
200	1131.984259
201	1127.694069
202	1126.852873
203	1125.978191
204	1125.210308
205	1123.920826
206	1123.120623
207	1119.916616
208	1118.400404
209	1116.678765
210	1115.979779
211	1114.059608
212	1111.962732
213	1111.311962
214	1108.608889
215	1106.294565
216	1104.007188
217	1102.983132
218	1102.306125
219	1100.578679
220	1099.557853
221	1096.234424
222	1094.310672
223	1093.757426
224	1093.119714
225	1092.504049
226	1091.515183
227	1088.121107
228	1086.03828
229	1083.74893
