iter	Passed	Remaining
0	2	2458
1	4	2444
2	16	5336
3	18	4682
4	22	4413
5	24	4039
6	26	3755
7	28	3531
8	31	3475
9	33	3304
10	35	3168
11	36	3037
12	38	2918
13	41	2916
14	44	2903
15	46	2885
16	49	2848
17	51	2826
18	114	5931
19	116	5687
20	117	5465
21	118	5268
22	119	5082
23	120	4913
24	121	4757
25	123	4612
26	124	4479
27	125	4353
28	126	4239
29	129	4193
30	130	4088
31	131	3990
32	133	3900
33	134	3814
34	135	3731
35	136	3653
36	137	3582
37	138	3515
38	140	3450
39	141	3388
40	142	3328
41	143	3271
42	213	4747
43	215	4678
44	217	4610
45	219	4542
46	220	4480
47	222	4415
48	224	4359
49	226	4307
50	228	4250
51	230	4199
52	232	4147
53	234	4102
54	235	4053
55	237	3999
56	238	3943
57	239	3889
58	240	3836
59	241	3786
60	244	3767
61	246	3723
62	247	3677
63	311	4553
64	312	4497
65	313	4441
66	314	4379
67	315	4326
68	316	4275
69	318	4225
70	319	4176
71	320	4129
72	321	4083
73	322	4037
74	323	3992
75	324	3951
76	326	3908
77	327	3867
78	328	3827
79	329	3789
80	331	3756
81	332	3719
82	333	3682
83	334	3648
84	335	3614
85	342	3639
86	408	4291
87	410	4249
88	411	4208
89	412	4168
90	413	4125
91	413	4084
92	415	4048
93	416	4011
94	417	3975
95	418	3939
96	419	3905
97	420	3870
98	421	3837
99	422	3805
100	423	3773
101	425	3741
102	426	3710
103	427	3680
104	428	3650
105	429	3620
106	430	3591
107	510	4219
108	512	4189
109	515	4167
110	517	4144
111	520	4128
112	523	4105
113	525	4081
114	526	4049
115	527	4018
116	528	3987
117	529	3957
118	530	3927
119	531	3898
120	532	3870
121	533	3842
122	535	3814
123	536	3787
124	537	3760
125	538	3733
126	539	3707
127	604	4120
128	605	4091
129	607	4063
130	608	4034
131	609	4006
132	610	3979
133	611	3952
134	612	3925
135	613	3898
136	614	3872
137	615	3847
138	616	3821
139	618	3796
140	619	3771
141	620	3747
142	621	3722
143	622	3699
144	623	3676
145	624	3652
146	625	3629
147	626	3607
148	627	3584
149	628	3563
150	629	3541
151	703	3923
152	704	3899
153	705	3875
154	706	3852
155	707	3829
156	708	3806
157	709	3783
158	711	3761
159	712	3739
160	713	3717
161	714	3695
162	715	3673
163	716	3652
164	717	3631
165	718	3610
166	719	3590
167	720	3570
168	722	3550
169	723	3530
170	724	3511
171	725	3491
172	726	3472
173	727	3453
174	801	3778
175	802	3757
176	803	3736
177	804	3716
178	805	3696
179	807	3676
180	808	3656
181	809	3636
182	810	3617
183	811	3598
184	812	3579
185	813	3560
186	814	3541
187	815	3522
188	816	3504
189	817	3486
190	818	3468
191	820	3451
192	821	3433
193	822	3415
194	823	3398
195	824	3381
196	825	3364
197	899	3643
198	900	3624
199	901	3606
200	902	3588
201	903	3570
202	904	3552
203	905	3535
204	907	3517
205	908	3499
206	909	3482
207	910	3466
208	911	3449
209	912	3432
210	913	3416
211	914	3399
212	915	3383
213	916	3367
214	917	3351
215	919	3335
216	920	3320
217	921	3305
218	922	3289
219	997	3536
220	998	3519
221	999	3503
222	1000	3486
223	1001	3470
224	1002	3454
225	1004	3438
226	1005	3422
227	1006	3407
228	1007	3391
229	1008	3375
230	1009	3360
231	1010	3345
232	1011	3330
233	1012	3315
234	1013	3300
235	1014	3285
236	1016	3271
237	1017	3256
238	1018	3242
239	1019	3227
240	1020	3213
241	1095	3431
242	1096	3416
243	1097	3401
244	1098	3386
245	1099	3371
246	1101	3356
247	1102	3341
248	1103	3327
249	1104	3312
250	1105	3298
251	1106	3284
252	1107	3270
253	1108	3256
254	1109	3242
255	1110	3228
256	1112	3215
257	1113	3201
258	1114	3187
259	1115	3174
260	1116	3160
261	1117	3147
262	1118	3134
263	1119	3121
264	1193	3310
265	1194	3296
266	1195	3282
267	1196	3269
268	1197	3255
269	1199	3242
270	1200	3228
271	1201	3215
272	1202	3202
273	1203	3189
274	1204	3175
275	1205	3162
276	1206	3149
277	1208	3137
278	1209	3124
279	1210	3111
280	1211	3099
281	1212	3086
282	1213	3074
283	1214	3061
284	1215	3049
285	1216	3037
286	1217	3025
287	1291	3192
288	1292	3180
289	1293	3167
290	1294	3154
291	1295	3141
292	1296	3129
293	1298	3117
294	1299	3104
295	1300	3094
296	1302	3081
297	1303	3069
298	1304	3057
299	1305	3045
300	1306	3033
301	1307	3022
302	1308	3010
303	1309	2998
304	1310	2987
305	1311	2975
306	1313	2964
307	1314	2953
308	1315	2941
309	1316	2930
310	1389	3078
311	1390	3066
312	1391	3054
313	1392	3043
314	1393	3031
315	1395	3019
316	1396	3008
317	1397	2996
318	1398	2985
319	1399	2973
320	1400	2962
321	1401	2951
322	1402	2940
323	1403	2929
324	1404	2918
325	1406	2907
326	1407	2896
327	1408	2885
328	1409	2874
329	1410	2863
330	1411	2853
331	1412	2842
332	1413	2831
333	1414	2821
334	1487	2953
335	1488	2942
336	1489	2931
337	1490	2920
338	1492	2909
339	1493	2898
340	1494	2888
341	1495	2877
342	1496	2866
343	1497	2856
344	1498	2845
345	1500	2835
346	1501	2824
347	1502	2814
348	1503	2804
349	1504	2793
350	1505	2783
351	1506	2773
352	1507	2763
353	1508	2753
354	1509	2743
355	1510	2733
356	1585	2856
357	1586	2845
358	1588	2835
359	1589	2825
360	1590	2815
361	1591	2805
362	1592	2794
363	1593	2784
364	1595	2774
365	1596	2764
366	1597	2755
367	1598	2745
368	1599	2735
369	1600	2725
370	1601	2715
371	1603	2706
372	1604	2696
373	1605	2686
374	1606	2677
375	1607	2667
376	1608	2658
377	1609	2649
378	1610	2639
379	1611	2629
380	1682	2733
381	1683	2723
382	1684	2713
383	1685	2704
384	1686	2694
385	1688	2685
386	1689	2675
387	1690	2665
388	1691	2656
389	1692	2646
390	1693	2637
391	1694	2628
392	1695	2618
393	1696	2609
394	1697	2600
395	1698	2591
396	1699	2582
397	1701	2573
398	1702	2563
399	1703	2554
400	1704	2546
401	1705	2537
402	1706	2528
403	1787	2637
404	1788	2628
405	1790	2619
406	1791	2609
407	1792	2600
408	1793	2591
409	1794	2582
410	1795	2573
411	1796	2564
412	1797	2555
413	1799	2546
414	1800	2537
415	1801	2528
416	1802	2519
417	1803	2510
418	1804	2502
419	1805	2493
420	1806	2484
421	1807	2476
422	1808	2467
423	1809	2458
424	1812	2451
425	1878	2531
426	1882	2525
427	1885	2519
428	1887	2512
429	1889	2504
430	1890	2495
431	1891	2487
432	1892	2478
433	1893	2469
434	1895	2461
435	1896	2452
436	1897	2444
437	1898	2435
438	1899	2427
439	1900	2419
440	1901	2410
441	1903	2402
442	1904	2394
443	1905	2385
444	1906	2377
445	1907	2369
446	1977	2446
447	1980	2440
448	1983	2434
449	1986	2427
450	1988	2420
451	1990	2413
452	1992	2406
453	1994	2399
454	1997	2392
455	1999	2385
456	2001	2378
457	2003	2370
458	2005	2363
459	2007	2356
460	2008	2348
461	2015	2347
462	2075	2406
463	2076	2398
464	2077	2390
465	2078	2381
466	2079	2373
467	2080	2365
468	2081	2357
469	2083	2348
470	2084	2340
471	2085	2332
472	2086	2324
473	2087	2316
474	2088	2308
475	2089	2300
476	2090	2292
477	2091	2284
478	2093	2276
479	2094	2268
480	2095	2260
481	2096	2252
482	2097	2245
483	2098	2237
484	2099	2229
485	2173	2298
486	2174	2290
487	2175	2282
488	2176	2274
489	2177	2266
490	2178	2258
491	2180	2250
492	2181	2243
493	2182	2235
494	2183	2227
495	2184	2219
496	2185	2212
497	2186	2204
498	2187	2196
499	2188	2188
500	2190	2181
501	2191	2173
502	2192	2166
503	2193	2158
504	2194	2151
505	2195	2143
506	2196	2136
507	2271	2199
508	2272	2191
509	2273	2184
510	2274	2176
511	2275	2168
512	2276	2161
513	2277	2153
514	2278	2145
515	2279	2138
516	2280	2130
517	2282	2123
518	2283	2115
519	2284	2108
520	2285	2101
521	2286	2093
522	2287	2086
523	2288	2079
524	2289	2071
525	2290	2064
526	2292	2057
527	2293	2050
528	2294	2043
529	2295	2035
530	2296	2028
531	2369	2084
532	2371	2077
533	2372	2070
534	2373	2062
535	2374	2055
536	2375	2048
537	2376	2041
538	2377	2033
539	2378	2026
540	2380	2019
541	2381	2012
542	2382	2004
543	2383	1997
544	2384	1990
545	2385	1983
546	2386	1976
547	2388	1969
548	2389	1962
549	2390	1955
550	2391	1948
551	2392	1941
552	2393	1934
553	2467	1986
554	2470	1980
555	2472	1974
556	2474	1968
557	2476	1961
558	2480	1956
559	2482	1950
560	2484	1944
561	2486	1937
562	2487	1930
563	2488	1924
564	2490	1917
565	2491	1910
566	2492	1903
567	2494	1897
568	2496	1890
569	2498	1884
570	2499	1878
571	2507	1875
572	2508	1869
573	2510	1863
574	2565	1896
575	2567	1890
576	2569	1883
577	2570	1877
578	2572	1870
579	2574	1864
580	2576	1858
581	2578	1851
582	2580	1845
583	2581	1839
584	2583	1832
585	2584	1826
586	2586	1819
587	2588	1813
588	2590	1807
589	2591	1801
590	2593	1794
591	2594	1788
592	2598	1783
593	2601	1778
594	2602	1771
595	2662	1804
596	2663	1798
597	2665	1791
598	2666	1784
599	2667	1778
600	2668	1771
601	2669	1765
602	2670	1758
603	2671	1751
604	2672	1745
605	2674	1738
606	2675	1731
607	2676	1725
608	2677	1719
609	2678	1712
610	2679	1706
611	2681	1699
612	2682	1693
613	2683	1686
614	2684	1680
615	2685	1674
616	2686	1667
617	2687	1661
618	2689	1655
619	2761	1692
620	2762	1685
621	2763	1679
622	2764	1672
623	2765	1666
624	2766	1660
625	2768	1653
626	2769	1647
627	2770	1640
628	2771	1634
629	2772	1628
630	2773	1621
631	2774	1615
632	2775	1609
633	2776	1603
634	2777	1596
635	2779	1590
636	2780	1584
637	2781	1578
638	2782	1571
639	2783	1565
640	2784	1559
641	2859	1594
642	2860	1588
643	2861	1581
644	2862	1575
645	2863	1569
646	2864	1563
647	2865	1556
648	2867	1550
649	2868	1544
650	2869	1538
651	2870	1532
652	2871	1525
653	2872	1519
654	2873	1513
655	2875	1507
656	2876	1501
657	2877	1495
658	2878	1489
659	2879	1483
660	2880	1477
661	2881	1471
662	2882	1465
663	2883	1459
664	2957	1489
665	2958	1483
666	2959	1477
667	2960	1471
668	2961	1465
669	2963	1459
670	2964	1453
671	2965	1447
672	2966	1441
673	2967	1435
674	2968	1429
675	2969	1423
676	2970	1417
677	2971	1411
678	2972	1405
679	2973	1399
680	2975	1393
681	2976	1387
682	2977	1381
683	2978	1375
684	2979	1370
685	2980	1364
686	2981	1358
687	3055	1385
688	3056	1379
689	3057	1373
690	3058	1367
691	3059	1361
692	3061	1356
693	3062	1350
694	3063	1344
695	3064	1338
696	3065	1332
697	3066	1326
698	3067	1321
699	3068	1315
700	3069	1309
701	3071	1303
702	3072	1297
703	3073	1292
704	3074	1286
705	3075	1280
706	3076	1275
707	3077	1269
708	3078	1263
709	3080	1258
710	3153	1281
711	3154	1275
712	3155	1270
713	3156	1264
714	3157	1258
715	3158	1252
716	3159	1247
717	3161	1241
718	3162	1235
719	3163	1230
720	3164	1224
721	3165	1218
722	3166	1213
723	3167	1207
724	3169	1202
725	3170	1196
726	3171	1190
727	3172	1185
728	3174	1179
729	3175	1174
730	3176	1168
731	3177	1163
732	3251	1184
733	3252	1178
734	3253	1173
735	3254	1167
736	3255	1161
737	3256	1156
738	3258	1150
739	3259	1145
740	3260	1139
741	3261	1134
742	3262	1128
743	3263	1122
744	3264	1117
745	3266	1112
746	3267	1106
747	3268	1101
748	3269	1095
749	3271	1090
750	3272	1084
751	3273	1079
752	3274	1074
753	3275	1068
754	3349	1086
755	3350	1081
756	3351	1075
757	3352	1070
758	3353	1064
759	3355	1059
760	3356	1054
761	3357	1048
762	3358	1043
763	3359	1037
764	3360	1032
765	3362	1027
766	3363	1021
767	3364	1016
768	3365	1010
769	3366	1005
770	3367	1000
771	3369	995
772	3370	989
773	3371	984
774	3372	979
775	3446	994
776	3448	989
777	3449	984
778	3450	979
779	3452	973
780	3453	968
781	3454	963
782	3455	957
783	3456	952
784	3458	947
785	3459	941
786	3460	936
787	3461	931
788	3463	926
789	3464	920
790	3465	915
791	3466	910
792	3468	905
793	3469	900
794	3470	894
795	3471	889
796	3472	884
797	3473	879
798	3545	891
799	3546	886
800	3547	881
801	3548	876
802	3549	870
803	3550	865
804	3551	860
805	3552	855
806	3554	850
807	3555	844
808	3556	839
809	3557	834
810	3558	829
811	3559	824
812	3561	819
813	3562	813
814	3563	808
815	3564	803
816	3565	798
817	3566	793
818	3567	788
819	3568	783
820	3570	778
821	3643	788
822	3644	783
823	3645	778
824	3646	773
825	3647	768
826	3648	763
827	3650	758
828	3651	753
829	3652	748
830	3653	743
831	3654	737
832	3655	732
833	3657	727
834	3658	722
835	3659	717
836	3660	712
837	3661	707
838	3662	702
839	3664	697
840	3665	692
841	3666	688
842	3667	683
843	3668	678
844	3740	686
845	3741	681
846	3742	676
847	3744	671
848	3745	666
849	3746	661
850	3747	656
851	3749	651
852	3750	646
853	3751	641
854	3752	636
855	3753	631
856	3755	626
857	3756	621
858	3757	616
859	3758	611
860	3760	607
861	3761	602
862	3762	597
863	3763	592
864	3764	587
865	3765	582
866	3838	588
867	3839	583
868	3840	579
869	3842	574
870	3843	569
871	3844	564
872	3845	559
873	3846	554
874	3847	549
875	3849	544
876	3850	540
877	3851	535
878	3852	530
879	3854	525
880	3855	520
881	3856	515
882	3857	511
883	3858	506
884	3860	501
885	3861	496
886	3862	492
887	3863	487
888	3864	482
889	3936	486
890	3937	481
891	3938	476
892	3939	472
893	3941	467
894	3942	462
895	3943	457
896	3944	452
897	3945	448
898	3946	443
