title,genres,runtime,vote_average,vote_count,year
Toy Story,"['animation', 'comedy', 'family']",81.0,7.7,5415,1995
Jumanji,"['adventure', 'fantasy', 'family']",104.0,6.9,2413,1995
Grumpier Old Men,"['romance', 'comedy']",101.0,6.5,92,1995
Waiting to Exhale,"['comedy', 'drama', 'romance']",127.0,6.1,34,1995
Father of the Bride Part II,['comedy'],106.0,5.7,173,1995
Heat,"['action', 'crime', 'drama', 'thriller']",170.0,7.7,1886,1995
Sabrina,"['comedy', 'romance']",127.0,6.2,141,1995
Tom and Huck,"['action', 'adventure', 'drama', 'family']",97.0,5.4,45,1995
Sudden Death,"['action', 'adventure', 'thriller']",106.0,5.5,174,1995
GoldenEye,"['adventure', 'action', 'thriller']",130.0,6.6,1194,1995
The American President,"['comedy', 'drama', 'romance']",106.0,6.5,199,1995
Dracula: Dead and Loving It,"['comedy', 'horror']",88.0,5.7,210,1995
Balto,"['family', 'animation', 'adventure']",78.0,7.1,423,1995
Nixon,"['history', 'drama']",192.0,7.1,72,1995
Cutthroat Island,"['action', 'adventure']",119.0,5.7,137,1995
Casino,"['drama', 'crime']",178.0,7.8,1343,1995
Sense and Sensibility,"['drama', 'romance']",136.0,7.2,364,1995
Four Rooms,"['crime', 'comedy']",98.0,6.5,539,1995
Ace Ventura: When Nature Calls,"['crime', 'comedy', 'adventure']",90.0,6.1,1128,1995
Money Train,"['action', 'comedy', 'crime']",103.0,5.4,224,1995
Get Shorty,"['comedy', 'thriller', 'crime']",105.0,6.4,305,1995
Copycat,"['drama', 'thriller']",124.0,6.5,199,1995
Assassins,"['action', 'adventure', 'crime', 'thriller']",132.0,6.0,394,1995
Powder,"['drama', 'fantasy', 'science fiction', 'thriller']",111.0,6.3,143,1995
Leaving Las Vegas,"['drama', 'romance']",112.0,7.1,365,1995
Othello,['drama'],123.0,7.0,33,1995
Now and Then,"['comedy', 'drama', 'family']",100.0,6.6,91,1995
Persuasion,"['drama', 'romance']",104.0,7.4,36,1995
The City of Lost Children,"['fantasy', 'science fiction', 'adventure']",108.0,7.6,308,1995
Shanghai Triad,"['drama', 'crime']",108.0,6.5,17,1995
Dangerous Minds,"['drama', 'crime']",99.0,6.4,249,1995
Twelve Monkeys,"['science fiction', 'thriller', 'mystery']",129.0,7.4,2470,1995
Wings of Courage,"['romance', 'adventure']",50.0,6.8,4,1996
Babe,"['fantasy', 'drama', 'comedy', 'family']",89.0,6.0,756,1995
Carrington,"['history', 'drama', 'romance']",121.0,6.4,16,1995
Dead Man Walking,['drama'],122.0,7.3,350,1995
Across the Sea of Time,"['adventure', 'history', 'drama', 'family']",51.0,3.5,2,1995
It Takes Two,"['comedy', 'family', 'romance']",101.0,6.1,149,1995
Clueless,"['comedy', 'drama', 'romance']",97.0,6.9,828,1995
"Cry, the Beloved Country",['drama'],106.0,6.7,13,1995
Richard III,"['drama', 'war']",104.0,6.9,50,1995
Dead Presidents,"['action', 'crime', 'drama', 'history']",119.0,6.6,80,1995
Restoration,"['drama', 'romance']",117.0,6.3,30,1995
Mortal Kombat,"['action', 'fantasy']",101.0,5.4,452,1995
To Die For,"['fantasy', 'drama', 'comedy', 'thriller']",106.0,6.7,177,1995
How To Make An American Quilt,"['drama', 'romance']",116.0,6.5,38,1995
Se7en,"['crime', 'mystery', 'thriller']",127.0,8.1,5915,1995
Pocahontas,"['adventure', 'animation', 'drama', 'family']",81.0,6.7,1509,1995
When Night Is Falling,"['drama', 'romance']",96.0,5.9,10,1995
The Usual Suspects,"['drama', 'crime', 'thriller']",106.0,8.1,3334,1995
Guardian Angel,"['action', 'thriller', 'drama']",93.0,6.3,3,1994
Mighty Aphrodite,"['comedy', 'romance']",95.0,6.7,145,1995
Lamerica,"['drama', 'foreign']",116.0,7.7,11,1994
The Big Green,"['action', 'adventure', 'comedy', 'family']",100.0,5.2,41,1995
Georgia,['drama'],115.0,6.1,15,1995
Kids of the Round Table,[],89.0,3.0,1,1997
Home for the Holidays,"['comedy', 'drama', 'romance']",103.0,6.3,39,1995
The Postman,"['comedy', 'drama', 'romance']",108.0,7.6,181,1994
The Confessional,"['thriller', 'drama', 'mystery']",100.0,6.5,2,1995
The Indian in the Cupboard,"['adventure', 'family', 'fantasy']",96.0,5.9,136,1995
Eye for an Eye,"['drama', 'thriller']",101.0,5.8,65,1996
Mr. Holland's Opus,"['music', 'drama', 'family']",137.0,6.9,115,1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['comedy'],89.0,6.2,192,1996
Two If by Sea,"['comedy', 'romance']",96.0,4.5,14,1996
Bio-Dome,['comedy'],88.0,4.4,110,1996
Lawnmower Man 2: Beyond Cyberspace,"['action', 'science fiction']",92.0,2.8,32,1996
Two Bits,"['drama', 'family']",85.0,5.4,11,1995
French Twist,"['comedy', 'romance']",95.0,6.0,43,1995
Friday,['comedy'],91.0,7.0,513,1995
From Dusk Till Dawn,"['horror', 'action', 'thriller', 'crime']",108.0,6.9,1644,1996
Fair Game,"['action', 'thriller', 'romance']",91.0,4.1,54,1995
Kicking and Screaming,"['comedy', 'drama', 'romance']",96.0,7.0,36,1995
Les Miserables,"['drama', 'history']",175.0,6.6,8,1995
Bed of Roses,"['drama', 'romance']",87.0,5.1,27,1996
Big Bully,"['comedy', 'family']",90.0,3.9,16,1996
Screamers,"['horror', 'science fiction']",108.0,6.1,154,1995
Nico Icon,['documentary'],70.0,7.3,3,1995
The Crossing Guard,"['drama', 'thriller']",111.0,6.1,74,1995
The Juror,"['drama', 'thriller']",118.0,5.5,91,1996
The White Balloon,"['family', 'drama']",85.0,7.5,20,1995
Things to Do in Denver When You're Dead,"['drama', 'crime']",116.0,6.7,87,1995
Antonia's Line,"['drama', 'comedy']",102.0,7.2,26,1995
Once Upon a Time... When We Were Colored,"['romance', 'drama']",115.0,4.5,2,1996
Last Summer in the Hamptons,[],108.0,0.0,0,1995
Angels and Insects,"['drama', 'romance']",118.0,6.3,17,1995
White Squall,"['action', 'drama']",129.0,6.3,86,1996
Dunston Checks In,"['adventure', 'comedy', 'family']",88.0,5.1,59,1996
Black Sheep,['comedy'],87.0,6.0,124,1996
Nick of Time,"['crime', 'drama', 'thriller']",90.0,6.1,190,1995
The Journey of August King,['drama'],91.0,6.7,3,1995
Mary Reilly,"['drama', 'horror', 'thriller', 'romance']",104.0,5.7,77,1996
Vampire in Brooklyn,"['comedy', 'horror', 'romance']",100.0,4.5,113,1995
Beautiful Girls,"['comedy', 'drama', 'romance']",112.0,6.6,103,1996
Broken Arrow,"['action', 'adventure', 'drama', 'thriller']",108.0,5.7,459,1996
A Midwinter's Tale,['comedy'],99.0,7.5,6,1995
La Haine,['drama'],98.0,7.9,695,1995
Shopping,"['action', 'adventure', 'drama', 'science fiction', 'thriller']",105.0,5.6,13,1994
Heidi Fleiss: Hollywood Madam,['documentary'],106.0,6.8,4,1995
City Hall,"['drama', 'thriller']",111.0,6.0,67,1996
Bottle Rocket,"['comedy', 'crime', 'drama']",91.0,6.8,285,1996
Mr. Wrong,"['comedy', 'romance']",96.0,3.3,16,1996
Unforgettable,"['drama', 'mystery', 'science fiction', 'thriller']",106.0,5.3,22,1996
Happy Gilmore,['comedy'],92.0,6.5,767,1996
The Bridges of Madison County,"['drama', 'romance']",135.0,7.3,397,1995
Nobody Loves Me,"['drama', 'comedy', 'family']",104.0,5.1,5,1994
Muppet Treasure Island,"['action', 'comedy', 'music', 'family', 'adventure']",100.0,6.5,93,1996
Catwalk,['documentary'],95.0,7.0,2,1995
Headless Body in Topless Bar,['crime'],110.0,0.0,0,1995
Braveheart,"['action', 'drama', 'history', 'war']",177.0,7.7,3404,1995
Taxi Driver,"['crime', 'drama']",114.0,8.1,2632,1976
Rumble in the Bronx,"['crime', 'action', 'comedy', 'thriller']",91.0,6.5,245,1995
Before and After,"['drama', 'thriller']",108.0,5.8,37,1996
Margaret's Museum,['drama'],114.0,7.5,2,1995
Happiness Is in the Field,['comedy'],106.0,7.0,23,1995
Anne Frank Remembered,"['documentary', 'drama', 'foreign']",117.0,7.3,4,1995
The Young Poisoner's Handbook,"['comedy', 'crime', 'drama']",99.0,6.9,19,1995
If Lucy Fell,"['comedy', 'romance']",92.0,5.4,11,1996
Steal Big Steal Little,"['comedy', 'drama']",113.0,5.1,7,1995
Race the Sun,"['action', 'adventure', 'comedy', 'drama', 'family']",100.0,5.2,21,1996
The Boys of St. Vincent,['drama'],90.0,7.0,7,1992
Boomerang,"['comedy', 'romance']",117.0,5.4,139,1992
Chungking Express,"['drama', 'comedy', 'romance']",102.0,7.9,249,1994
The Star Maker,"['drama', 'romance']",113.0,6.8,29,1995
Flirting with Disaster,"['comedy', 'romance']",92.0,6.3,66,1996
The Neverending Story III: Escape from Fantasia,['fantasy'],95.0,4.4,105,1994
The Silences of the Palace,['drama'],116.0,4.3,3,1994
Jupiter's Wife,[],87.0,0.0,0,1995
Pie in the Sky,"['comedy', 'romance']",95.0,7.0,2,1996
Angela,"['comedy', 'drama']",99.0,5.6,9,1995
Frankie Starlight,"['drama', 'romance', 'war']",101.0,5.4,4,1995
Jade,"['action', 'thriller', 'mystery', 'romance']",95.0,5.1,45,1995
Nueba Yol,"['comedy', 'drama', 'romance']",102.0,5.5,1,1995
Sonic Outlaws,"['music', 'documentary']",87.0,0.0,0,1995
Down Periscope,['comedy'],92.0,5.6,110,1996
From the Journals of Jean Seberg,['documentary'],97.0,6.5,2,1995
Man of the Year,['comedy'],86.0,3.8,2,1995
The Neon Bible,['drama'],91.0,7.2,5,1995
Target,[],122.0,0.0,0,1995
Up Close & Personal,"['drama', 'romance']",119.0,5.9,51,1996
The Birdcage,['comedy'],117.0,6.7,303,1996
Virgin Mary,['drama'],125.0,7.0,2,1995
The Brothers McMullen,"['comedy', 'drama', 'romance']",98.0,6.3,23,1995
Bad Boys,"['action', 'comedy', 'crime', 'thriller']",118.0,6.5,1729,1995
The Amazing Panda Adventure,"['action', 'adventure', 'drama', 'family']",81.0,5.0,31,1995
The Basketball Diaries,"['drama', 'crime']",102.0,7.2,472,1995
An Awfully Big Adventure,"['romance', 'drama', 'comedy']",113.0,6.0,11,1995
Amateur,"['crime', 'comedy', 'drama', 'thriller']",105.0,6.5,21,1994
Apollo 13,['drama'],140.0,7.3,1637,1995
Rob Roy,['adventure'],139.0,6.5,151,1995
The Addiction,"['drama', 'horror']",82.0,6.4,46,1995
Batman Forever,"['action', 'crime', 'fantasy']",121.0,5.2,1529,1995
Belle de Jour,"['drama', 'romance']",101.0,7.3,163,2067
Beyond Rangoon,"['drama', 'thriller']",100.0,6.4,21,1995
Blue in the Face,['comedy'],83.0,6.8,28,1995
Canadian Bacon,"['action', 'comedy']",91.0,5.9,57,1995
Casper,"['fantasy', 'comedy', 'family']",100.0,6.0,1045,1995
Clockers,"['mystery', 'crime', 'drama']",128.0,6.8,69,1995
Congo,"['action', 'adventure', 'drama', 'mystery', 'science fiction', 'thriller']",109.0,5.0,214,1995
Crimson Tide,"['action', 'thriller', 'drama']",116.0,7.0,508,1995
Crumb,['documentary'],119.0,7.6,71,1994
Desperado,"['thriller', 'action', 'crime']",104.0,6.8,898,1995
Devil in a Blue Dress,"['drama', 'mystery', 'thriller']",102.0,6.3,88,1995
Die Hard: With a Vengeance,"['action', 'thriller']",128.0,6.9,2094,1995
The Doom Generation,"['action', 'comedy', 'crime', 'drama']",80.0,5.6,57,1995
Feast of July,"['drama', 'crime']",116.0,0.0,0,1995
First Knight,"['action', 'adventure', 'drama', 'romance']",134.0,5.9,319,1995
Free Willy 2 - The Adventure Home,['adventure'],95.0,5.5,130,1995
Hackers,"['action', 'crime', 'thriller', 'drama']",107.0,6.2,406,1995
Jeffrey,"['comedy', 'drama', 'romance']",92.0,6.5,19,1995
Johnny Mnemonic,"['adventure', 'action', 'drama', 'science fiction', 'thriller']",97.0,5.5,380,1995
Judge Dredd,['science fiction'],96.0,5.4,643,1995
Jury Duty,"['comedy', 'drama']",88.0,4.0,34,1995
Kids,"['drama', 'crime']",91.0,6.8,280,1995
Living in Oblivion,"['drama', 'comedy']",89.0,7.2,64,1995
Lord of Illusions,"['mystery', 'horror', 'thriller']",119.0,5.9,87,1995
Love & Human Remains,"['comedy', 'drama']",100.0,7.0,7,1993
Mad Love,"['drama', 'family', 'romance']",95.0,5.5,27,1995
Mallrats,"['romance', 'comedy']",94.0,6.8,400,1995
Mighty Morphin Power Rangers: The Movie,"['action', 'adventure', 'science fiction', 'family', 'fantasy']",92.0,5.2,153,1995
Moonlight and Valentino,"['comedy', 'drama', 'romance']",100.0,5.6,10,1995
Mute Witness,"['thriller', 'foreign']",95.0,6.4,36,1995
Nadja,"['horror', 'thriller']",93.0,5.9,12,1994
The Net,"['crime', 'drama', 'mystery', 'thriller', 'action']",114.0,5.6,359,1995
Nine Months,['comedy'],103.0,5.5,171,1995
Party Girl,['comedy'],94.0,5.8,14,1995
The Prophecy,"['fantasy', 'horror', 'thriller']",98.0,6.4,139,1995
Reckless,"['fantasy', 'comedy', 'drama']",91.0,10.0,1,1995
Safe,['drama'],119.0,7.2,62,1995
The Scarlet Letter,"['drama', 'history', 'romance']",135.0,5.5,111,1995
The Show,['documentary'],93.0,5.3,2,1995
Showgirls,['drama'],128.0,4.9,261,1995
Smoke,"['comedy', 'drama']",112.0,7.2,115,1995
