id,title,budget,genres,overview,revenue,runtime,vote_average,vote_count,year
862,Toy Story,30000000.0,"['Animation', 'Comedy', 'Family']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",373554033,81.0,7.7,5415,1995
8844,Jumanji,65000000.0,"['Adventure', 'Fantasy', 'Family']","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",262797249,104.0,6.9,2413,1995
15602,Grumpier Old Men,0.0,"['Romance', 'Comedy']","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",0,101.0,6.5,92,1995
31357,Waiting to Exhale,16000000.0,"['Comedy', 'Drama', 'Romance']","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",81452156,127.0,6.1,34,1995
11862,Father of the Bride Part II,0.0,['Comedy'],"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",76578911,106.0,5.7,173,1995
949,Heat,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",187436818,170.0,7.7,1886,1995
11860,Sabrina,58000000.0,"['Comedy', 'Romance']","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",0,127.0,6.2,141,1995
45325,Tom and Huck,0.0,"['Action', 'Adventure', 'Drama', 'Family']","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",0,97.0,5.4,45,1995
9091,Sudden Death,35000000.0,"['Action', 'Adventure', 'Thriller']","International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",64350171,106.0,5.5,174,1995
710,GoldenEye,58000000.0,"['Adventure', 'Action', 'Thriller']",James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,352194034,130.0,6.6,1194,1995
