Toy Story,0
Jumanji,1
Grumpier Old Men,2
Waiting to Exhale,3
Father of the Bride Part II,4
Heat,5
Sabrina,6
Tom and Huck,7
Sudden Death,8
GoldenEye,9
The American President,10
Dracula: Dead and Loving It,11
Balto,12
Nixon,13
Cutthroat Island,14
Casino,15
Sense and Sensibility,16
Four Rooms,17
Ace Ventura: When Nature Calls,18
Money Train,19
Get Shorty,20
Copycat,21
Assassins,22
Powder,23
Leaving Las Vegas,24
Othello,25
Now and Then,26
Persuasion,27
The City of Lost Children,28
Shanghai Triad,29
Dangerous Minds,30
Twelve Monkeys,31
Babe,32
Carrington,33
Dead Man Walking,34
Across the Sea of Time,35
It Takes Two,36
Clueless,37
"Cry, the Beloved Country",38
Richard III,39
Dead Presidents,40
Restoration,41
Mortal Kombat,42
To Die For,43
How To Make An American Quilt,44
Se7en,45
Pocahontas,46
When Night Is Falling,47
The Usual Suspects,48
Mighty Aphrodite,49
Lamerica,50
The Big Green,51
Georgia,52
Home for the Holidays,53
The Postman,54
The Confessional,55
The Indian in the Cupboard,56
Eye for an Eye,57
Mr. Holland's Opus,58
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,59
Two If by Sea,60
Bio-Dome,61
Lawnmower Man 2: Beyond Cyberspace,62
French Twist,63
Friday,64
From Dusk Till Dawn,65
Fair Game,66
Kicking and Screaming,67
Les Miserables,68
Bed of Roses,69
Screamers,70
Nico Icon,71
The Crossing Guard,72
The Juror,73
The White Balloon,74
Things to Do in Denver When You're Dead,75
Antonia's Line,76
Once Upon a Time... When We Were Colored,77
Last Summer in the Hamptons,78
Angels and Insects,79
White Squall,80
Dunston Checks In,81
Black Sheep,82
Nick of Time,83
Mary Reilly,84
Vampire in Brooklyn,85
Beautiful Girls,86
Broken Arrow,87
A Midwinter's Tale,88
La Haine,89
Shopping,90
Heidi Fleiss: Hollywood Madam,91
City Hall,92
Bottle Rocket,93
Mr. Wrong,94
Unforgettable,95
Happy Gilmore,96
The Bridges of Madison County,97
