title,movieId,id
Toy Story,1,862.0
Jumanji,2,8844.0
Grumpier Old Men,3,15602.0
Waiting to Exhale,4,31357.0
Father of the Bride Part II,5,11862.0
Heat,6,949.0
Sabrina,7,11860.0
Tom and Huck,8,45325.0
Sudden Death,9,9091.0
GoldenEye,10,710.0
The American President,11,9087.0
Dracula: Dead and Loving It,12,12110.0
Balto,13,21032.0
Nixon,14,10858.0
Cutthroat Island,15,1408.0
Casino,16,524.0
Sense and Sensibility,17,4584.0
Four Rooms,18,5.0
Ace Ventura: When Nature Calls,19,9273.0
Money Train,20,11517.0
Get Shorty,21,8012.0
Copycat,22,1710.0
Assassins,23,9691.0
Powder,24,12665.0
Leaving Las Vegas,25,451.0
Othello,26,16420.0
Now and Then,27,9263.0
Persuasion,28,17015.0
The City of Lost Children,29,902.0
Shanghai Triad,30,37557.0
Dangerous Minds,31,9909.0
Twelve Monkeys,32,63.0
Babe,34,9598.0
Carrington,35,47018.0
Dead Man Walking,36,687.0
Across the Sea of Time,37,139405.0
It Takes Two,38,33689.0
Clueless,39,9603.0
"Cry, the Beloved Country",40,34615.0
Richard III,41,31174.0
Dead Presidents,42,11443.0
Restoration,43,35196.0
Mortal Kombat,44,9312.0
To Die For,45,577.0
How To Make An American Quilt,46,11861.0
Se7en,47,807.0
Pocahontas,48,10530.0
When Night Is Falling,49,8391.0
The Usual Suspects,50,629.0
Mighty Aphrodite,52,11448.0
Lamerica,53,49133.0
The Big Green,54,26441.0
Georgia,55,97406.0
Home for the Holidays,57,9089.0
The Postman,58,11010.0
The Confessional,59,99040.0
The Indian in the Cupboard,60,11359.0
Eye for an Eye,61,17182.0
Mr. Holland's Opus,62,2054.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,63,10607.0
Two If by Sea,64,19760.0
Bio-Dome,65,9536.0
Lawnmower Man 2: Beyond Cyberspace,66,11525.0
French Twist,68,4482.0
Friday,69,10634.0
From Dusk Till Dawn,70,755.0
Fair Game,71,11859.0
Kicking and Screaming,72,28387.0
Les Miserables,73,48750.0
Bed of Roses,74,20927.0
Screamers,76,9102.0
Nico Icon,77,124626.0
The Crossing Guard,78,27526.0
The Juror,79,9623.0
The White Balloon,80,46785.0
Things to Do in Denver When You're Dead,81,400.0
